City_ID,City,Country,Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
278,Narsaq,GL,few clouds,60.9167,-46.05,39.2,33,20,49.48
279,Wuwei,CN,broken clouds,37.9281,102.6414,29.93,73,56,4.92
280,Kilindoni,TZ,broken clouds,-7.9139,39.6668,82.98,77,81,15.32
281,Manoel Urbano,BR,overcast clouds,-8.8389,-69.2597,82.49,88,100,2.68
282,Kaitong,CN,clear sky,44.8135,123.15,-3.37,86,6,2.1
283,Ucluelet,CA,few clouds,48.9329,-125.5528,30.2,100,20,15.43
284,Okhotsk,RU,overcast clouds,59.3833,143.3,13.64,88,100,21.94
285,La Sarre,CA,overcast clouds,48.8002,-79.1996,2.35,91,96,6.76
286,Rancho Palos Verdes,US,few clouds,33.7445,-118.387,55.99,91,22,1.01
287,Limoux,FR,broken clouds,42.9167,2.1667,51.01,66,75,14.97
288,Chernyshevskiy,RU,overcast clouds,63.0128,112.4714,1.53,95,100,4.97
289,Paamiut,GL,broken clouds,61.994,-49.6678,31.08,85,59,6.87
290,Kologriv,RU,overcast clouds,58.8275,44.3178,-18.06,86,100,8.88
291,Rocha,UY,clear sky,-34.4833,-54.3333,82.71,49,7,4.99
292,Horsham,GB,light snow,51.064,-0.3272,35.01,93,75,14.97
293,Primorsk,UA,overcast clouds,46.7348,36.3443,27.93,79,94,7.07
294,Nanfeng,CN,clear sky,23.7434,111.7959,66.6,52,0,1.36
295,Royan,FR,broken clouds,45.6285,-1.0281,48.2,66,75,8.05
296,Ifo,NG,overcast clouds,6.8144,3.1958,89.89,51,92,9.42
297,Vidim,RU,overcast clouds,56.4088,103.1106,16.84,94,100,7.25
298,Porto Walter,BR,broken clouds,-8.2686,-72.7439,84.31,83,67,3.29
299,Jacareacanga,BR,broken clouds,-6.2222,-57.7528,83.23,86,71,3.51
300,Avarua,CK,clear sky,-21.2078,-159.775,78.8,89,1,4.61
301,Belaya Gora,RU,scattered clouds,68.5333,146.4167,-28.55,83,46,4.5
302,Dalhousie,IN,clear sky,32.5333,75.9833,41.83,62,0,5.01
303,Pueblo Bello,CO,broken clouds,8.2041,-76.526,87.19,63,80,5.35
304,Kysyl-Syr,RU,overcast clouds,63.8986,122.7617,-27.8,83,97,11.45
305,Hamilton,US,clear sky,39.1834,-84.5333,19.4,58,1,6.91
306,Dicabisagan,PH,few clouds,17.0818,122.4157,75.02,84,18,2.37
307,Trussville,US,overcast clouds,33.6198,-86.6089,42.8,75,90,8.05
308,Seoul,KR,clear sky,37.5683,126.9778,30.2,58,0,6.91
309,Nemuro,JP,broken clouds,43.3236,145.575,14.99,88,78,11.81
310,College,US,broken clouds,64.8569,-147.8028,-16.01,69,75,2.26
311,Deputatskiy,RU,clear sky,69.3,139.9,-30.08,86,0,1.57
312,Namibe,AO,scattered clouds,-15.1961,12.1522,78.8,65,40,11.5
313,Imbituba,BR,clear sky,-28.24,-48.6703,84.2,39,0,13.8
314,Ordu,TR,broken clouds,40.9086,37.6845,51.8,100,75,4.61
315,Coihaique,CL,few clouds,-45.5752,-72.0662,66.2,48,20,8.05
316,Bratsk,RU,overcast clouds,56.1325,101.6142,21.2,73,90,4.47
317,Ayan,RU,overcast clouds,56.45,138.1667,-4.45,78,100,21.18
318,Dhidhdhoo,MV,broken clouds,6.8833,73.1,81.68,74,77,13.09
319,Bethanien,NA,clear sky,-26.502,17.1583,94.14,10,0,15.12
320,Goderich,CA,overcast clouds,43.7501,-81.7165,10.4,67,99,16.11
321,Sao Filipe,CV,broken clouds,14.8961,-24.4956,71.04,69,74,8.81
322,Jiblah,YE,scattered clouds,13.9216,44.1467,58.41,80,46,1.41
323,Loandjili,CG,light rain,-4.7561,11.8578,84.2,84,40,9.22
324,La Ronge,CA,clear sky,55.1001,-105.2842,-40.0,67,9,6.91
325,Miquelon,PM,scattered clouds,47.0975,-56.3814,33.8,55,40,35.68
326,Bom Jardim,BR,few clouds,-7.7958,-35.5872,91.4,40,20,6.91
327,Snyder,US,clear sky,32.7179,-100.9176,48.2,40,1,8.05
328,Ulaanbaatar,MN,clear sky,47.9077,106.8832,-16.6,76,0,2.24
329,Coquimbo,CL,scattered clouds,-29.9533,-71.3436,68.0,60,40,11.5
330,Ulaangom,MN,overcast clouds,49.9811,92.0667,-5.1,89,100,0.67
331,San Estanislao,CO,clear sky,10.3983,-75.1511,89.6,58,0,3.44
332,Mecca,SA,clear sky,21.4267,39.8261,74.41,31,0,8.59
333,Bima,ID,broken clouds,-8.4667,118.7167,76.42,84,77,1.12
334,Portland,US,overcast clouds,45.5234,-122.6762,42.01,87,90,4.61
335,Shouguang,CN,broken clouds,36.88,118.7375,32.0,59,71,1.77
336,Pechora,RU,light snow,65.1472,57.2244,-25.13,85,100,13.87
337,Faanui,PF,clear sky,-16.4833,-151.75,80.91,76,2,12.75
338,Diffa,NE,clear sky,13.3154,12.6113,77.47,17,4,8.41
339,Lichinga,MZ,moderate rain,-13.3128,35.2406,69.8,83,75,2.3
340,Hisua,IN,mist,24.8333,85.4167,57.2,77,0,3.44
341,Malangali,TZ,light rain,-8.5667,34.85,66.06,87,94,1.61
342,Port Hawkesbury,CA,clear sky,45.6169,-61.3485,30.99,59,1,12.66
343,Broken Hill,AU,clear sky,-31.95,141.4333,66.2,42,0,11.5
344,Dudinka,RU,clear sky,69.4058,86.1778,-30.21,80,5,11.45
